text,label
"in the worst of his poems are mines of rich matter,",3
henceforth to labor's chivalry,2
thy hands all cunning arts that women prize.,1
"among the sources of thy glorious streams,",1
tis the djinns' wild streaming swarm,2
"though books on manners are not out of print,",2
and bow to dread inquisitor and worship lords of dust;,0
as when i read in god's own holy book.,2
"shining and shouting each to each that place),",2
"flutter,",2
"i strive, i pray.",1
"i'm safe enlisted fer the war,",2
like morning glory,1
"sooner, augustine, sooner far, shall i",2
that _she_ should walk beside him on the rocks,2
and my white cottage--plain.,2
i do not keer a jot;,2
which goaded him in his distress,0
and breaths were gathering sure,2
with the _quart d'heure_ of rabelais!,2
"but it is not enough, ah! not enough",2
"ah, what a pang of aching sharp surprise",0
"and then he shut his little eyes,",2
the wood giant,2
i have lost the urban ways.,2
"ez though i wanted to enlist 'em,",2
ef zeke had be'n the bigges' man,2
"ah, soul of mine! so brave and wise",1
"upon whose boughs were wicker cages hung,",2
that passed with you and me.--,2
then to tell.,2
one lucent foot's delaying tip,2
taught by the sorrows that his age had known,0
from her stately place on high.,1
"that satraps would have shivered at his frown,",0
and heavy as the dead.,0
"their heads, distilling gore, his chariot grace.",3
the sundown's golden trail?,1
as if she were a woman. we who have clipt,2
"i see them mix'd with george's sons,",2
"for her this rhyme is penned, whose luminous eyes,",1
"far from the woods where, when the sun has set,",2
and not alone by gold;,2
"when i peruse the conquered fame of heroes, and the victories of mighty generals, i do not envy the generals,",3
"is beaten by the winds, with foggy vapours bound.",0
all foredoomed to melt away;,0
“i’m going to put you on the farm next to it.”,2
"down the dark future, through long generations,",0
and to the tender heart and brave,1
"burns in thee, child?--what good can thee betide,",2
was she not somewhat that he could not rule,2
"is this a time to be cloudy and sad,",0
along the track. afore the noonday meal,2
"but de lawd is all aroun' you,",2
godminster? is it fancy's play?,2
then he stripped the shirt of wampum,2
to hide the orb of truth--and every throne,2
since ferdinand and you begun,2
in latmian fountains long ago.,2
"but when i read of the brotherhood of lovers, how it was with them;",2
"still sigurd rides with the brethren, as oft in the other days,",2
an honest tongue may drop a harmless hint.,1
"which leans over to the lane,",2
"so thick, she cannot see her lover hiding,",2
above the myriad roofs and spires rise;,2
kneeling ne'er spoiled silk stockings; quit thy state;,0
many changes have been run,2
"and then, if it should be",2
very sleepy with the silence.,2
"i left the place with all my might, --",2
