text,label
"here on the street as strangers do,",2
it will be spring again.,2
"still sigurd rides with the brethren, as oft in the other days,",2
not in the close successive rattle,2
"flew to and fro,",2
you heard the news from vincent carrington.,2
"""it is a lie, a damned, infernal lie!""",0
those cobweb nerves he could not dull within.,0
it's a pretty early start.,2
"i would don my hose of homespun gray,",2
"looks, and is dumb with awe;",3
"amidst the gold and the purple, and the pillows of his bed:",2
"a different man was brother timothy,",2
to gather weeds in the regardless stream.,2
"leading downward to the river,",2
"plucked from the death, wilt thou repay me thus?",3
"_you_ took to follerin' where the prophets beckoned,",2
to hide the orb of truth--and every throne,2
playmates' glad symphony.,1
still is my heart and vacant is my breath--,2
"the willows, and the hazel copses green,",2
sweet hope!,1
the other dark-eyed dears,2
"and country eyes, and quiet faces --",2
"nightly down the river going,",2
"here those that in the rapid course delight,",1
whose instinct was to listen and obey.,2
to turnus only second in the grace,2
the red sword sealed their vows!,3
"sat mournfully guarding their corpses there,",0
the likeness of the wood's remembered leaves.,2
to touch such goodness with a grimy palm.,3
"a poet in his youth, and the cuckoo-bird",2
"the present is enough, for common souls,",2
"when thou hadst overcome the sharpness of death, thou didst open the kingdom of heaven to all believers.",3
that wisdom's lips seemed borrowing friendship's heart.,1
pillars by madness multiplied;,0
she still must keep the locket to allay,2
"a ruby, and a pearl, or so,",2
fearless but weary to thy arms i creep;,3
tis that one told us it was life. 'for not,2
"these are the tales, or new or old,",2
the message is not like what i have learned,2
and listening to thy home's familiar chime,2
"is passed, and our aereal speed suspended.",2
honour to the bugle-horn!,1
snows hide his shoulders; from beneath his chin,2
"an echo returned on the cold gray morn,",0
of inward strife for truth and liberty.,3
fifty times the brahmins' offer deluged all the floor.,2
"far from the woods where, when the sun has set,",2
"and hold the hours as joshua stayed the sun,--",2
"his days in peace; but his straight lips were bent,",3
"for her this rhyme is penned, whose luminous eyes,",1
but thy tranquil waters teach,1
the story of a spavined steed;,2
"the foes inclosing, and his friend pursued,",0
"that satraps would have shivered at his frown,",0
"with passionate longing burning,",1
"there is nothing to hope for, i am tired,",0
how many times we must have met,2
abloom by sacred streams,1
let the scared dreamer wake to see,2
"by a great master of the past,",1
"his hand the captive's fetters broke,",0
"so, then, without a word that might offend",2
fall again.,2
were i once more the lover,2
"leave the garden walls, where blow",2
"how poor these pallid phrases seem,",0
"and changing like a poet's rhymes,",2
and circling wonders fill the vast profound.,1
"good ringers, pull your best,"" quoth he.",1
"and then, if it should be",2
bred onely and completed to the taste,2
"and match, and bend, and thorough-blend, in her colossal form and face.",2
"then pausing, thus his prophecy renews:",2
"you shall not find the sons of atreus here,",2
"from kindling spark struck out from dead king's brow,",3
"is plain, thou say'st: but wherefore god this way",2
"where the moloch of slavery sitteth on high,",0
"when, dreadful to behold, from sea we spied",0
"a spirit of unresting flame,",1
"behind the heads of children) compliments,",2
"then along the river strand,",2
"thy merited reward, the first assay",1
"no, no, you have dismiss'd me; and i go",2
"i turned, and saw behind me surge",2
“why won’t the farm next to it do for you?”,2
"""sorry?  of course you are, though you compress,",2
"skins of otter, lynx, and ermine,",2
and seek the danger i was forc’d to shun.,0
and bright in heaven's jewelled crown,1
"nor the president in his presidency, nor the rich in his great house.",3
"she falls back from the freedom she had hoped.""",2
can storied urn or animated bust:,2
"god prosper long our noble king,",1
"at dusk of eve,",2
"and, between the river flowing and the fair green trees a-growing,",1
"and then he shut his little eyes,",2
so runs the perfect cycle of the year.,1
the blessed memory of thy worth,1
"or at the church, she ever bore herself",2
"all autumn pil'd, though spring and autumn here",2
"passing to lap thy waters, crushed the flower",0
"and then, to go to sleep;",2
that by nor sound nor word,2
"still must mine, though bleeding, beat;",0
i'm always thinkin' long.,2
and heavy as the dead.,0
and in a pleasing slumber seals his eyes:,1
it is but three times thou hast set thine eyes,2
my daily thoughts perpetual converse held,2
"men said, into a smile which guile portended,",0
bird that from the nadir's floor,2
how you sprang! how you threw off the costumes of peace with indifferent hand;,3
"once upon a time, i lay",2
the pyramids have risen.,2
"nor is he, as some sages swear,",2
mere raft of stone;,2
wid a song up on de way.,2
"and thus each tint or shade which falls,",2
my father’s sister started when she caught,2
how heavy it seemed! as heavy as a stone;,0
to make a body curse.,0
